address,area,city,lat,lng,name,province,uid
区间路与振港路交叉口西南150米,平湖市,嘉兴市,30.689427,121.224853,花海优胜主题公园,浙江省,b4850126c1da0f46fa42b214
新仓镇政府旁,平湖市,嘉兴市,30.727379,121.194814,芦川公园,浙江省,61085211d40b96dfc41b7589
浙江省嘉兴市平湖市眉家路,平湖市,嘉兴市,30.741369,121.191401,莲塘公园,浙江省,5e9227c946d2597cddee8b7e
老卫清路与飞虹村路交叉口西北150米,金山区,上海市,30.731494,121.323462,飞虹公园,上海市,101bc61b1676c1a0c42ba16f
上海市金山区新城路16号,金山区,上海市,30.713079,121.352215,滨海公园,上海市,8fde79ccaa9975be95ca0731
上海市金山区金涛路1369号,金山区,上海市,30.713372,121.34408,鹦鹉洲生态湿地公园,上海市,bc012fcd7a85b905c2f1cff2
大堤路208,金山区,上海市,30.716183,121.346123,荟萃园,上海市,414b01aa07846efe400245c5
复旦大学附属金山医院对面,金山区,上海市,30.719005,121.34209,小公园,上海市,d52831f9d768dca42efaa76f
上海市金山区卫零路东礁二村(龙胜大楼西南100米),金山区,上海市,30.729243,121.348039,东礁公园,上海市,2c8cbd8a10010e735e17c3c1
上海市金山区新城路16号滨海公园内,金山区,上海市,30.711684,121.351175,滨海公园动物园,上海市,ab92e842548f9270c51b75af
上海市金山区海芙路,金山区,上海市,30.762819,121.348895,新城公园,上海市,fa7e7352f533dc6642d63efb
上海市金山区海汇街500弄光明都乐汇物业旁,金山区,上海市,30.758546,121.344182,ParkBox公园盒子(光明都乐汇店),上海市,1083c1486667d6bc43afe660
上海市金山区中甸路,金山区,上海市,30.776839,121.347268,马棚先锋公园,上海市,2879bbd6f6a1ab606d20b9db
上海市金山区漕廊公路9133号,金山区,上海市,30.790792,121.165243,廊下生态园,上海市,bee6a5d41f859f9bd72ce2ec
上海市金山区漕廊公路,金山区,上海市,30.792624,121.164841,上海廊下郊野公园,上海市,ef51cd18ee9a34900a5cb373
