address,area,city,lat,lng,name,province,uid
呼和浩特市回民区中山西路1号,回民区,呼和浩特市,40.81561176087527,111.66235209612209,维多利购物中心,内蒙古自治区,844a750e0f107ea062685846
内蒙古自治区呼和浩特市回民区中山西路和锡林郭勒南路交汇处,回民区,呼和浩特市,40.81313044791466,111.66152296765503,海亮广场,内蒙古自治区,373cf757b73e6f774354d728
呼和浩特市赛罕区鄂尔多斯大街26号,赛罕区,呼和浩特市,40.79601671226304,111.67475524954409,凯德MALL(鄂尔多斯大街店),内蒙古自治区,23e8cf0c4a8775221c38946e
内蒙古自治区呼和浩特市回民区石羊桥路与大学西街交汇处西北角,回民区,呼和浩特市,40.802106019964185,111.6565086991105,七彩城购物中心,内蒙古自治区,e9d6cea37cd8face51e5c572
内蒙古自治区呼和浩特市新城区昭乌达路66号,新城区,呼和浩特市,40.82172903930926,111.68356175533485,劝业场(昭乌达路店),内蒙古自治区,0f956ce0c2462541a80dd852
呼和浩特市回民区中山西路86号,回民区,呼和浩特市,40.81147388009001,111.65983777474082,王府井奥莱(中山西路店),内蒙古自治区,91ea5d4dceaf0377c7f50d29
呼和浩特市回民区中山西路7号,回民区,呼和浩特市,40.81290837422566,111.6594486950472,内蒙古民族商场,内蒙古自治区,504d6113fd846aaa465726c5
内蒙古自治区呼和浩特市赛罕区鄂尔多斯大街26号,赛罕区,呼和浩特市,40.79607611223027,111.67461574492087,嘉茂购物中心,内蒙古自治区,1142e79a820969ad3b221c0f
大学西街与锡林郭勒南路交叉口东南角,赛罕区,呼和浩特市,40.804801223096874,111.66931600675238,GOMEET,内蒙古自治区,c3e8661a1d096f00d23ce3d2
呼和浩特市回民区中山西路39号,回民区,呼和浩特市,40.814479898704086,111.66121283526938,维多利商厦,内蒙古自治区,971f6d42a338c5bced74f895
呼和浩特市回民区贝尔路西巷27号,回民区,呼和浩特市,40.8139972369196,111.65847547978318,宝马商城,内蒙古自治区,fa01e937d57ecf4a774ff118
内蒙古自治区呼和浩特市回民区中山西路1号,回民区,呼和浩特市,40.81354171874745,111.6631410984202,时代城,内蒙古自治区,b9e5d0b828634dc181a12e43
呼和浩特市新城区新城西街48号,新城区,呼和浩特市,40.82188573458821,111.67318879224516,凯德新世纪,内蒙古自治区,d991e11667dc36551f389418
内蒙古自治区呼和浩特市回民区锡林郭勒南路73号,回民区,呼和浩特市,40.81072939384681,111.66525236109463,五四商城,内蒙古自治区,34e48508c16913e2d8d89118
内蒙古自治区呼和浩特市回民区中山西路9号,回民区,呼和浩特市,40.81187387039837,111.65885401178313,星悦荟商厦,内蒙古自治区,ea637d93d06a512826e0a09c
内蒙古自治区呼和浩特市赛罕区昭乌达路与包头大街交汇处西南角,赛罕区,呼和浩特市,40.78087472166593,111.7001323542082,凯元广场,内蒙古自治区,c8b6e1e65771a70cea56fa79
鄂尔多斯东街21号附近,赛罕区,呼和浩特市,40.80660714300883,111.73191838857049,邻里荟购物中心,内蒙古自治区,8ae8346f9f632ed1c61b75fb
呼和浩特市回民区阿拉善北路与成吉思汗西街交汇处,回民区,呼和浩特市,40.83044675735071,111.60187094756705,万达广场(呼市回民区店),内蒙古自治区,7f8e917cde2024abfb2d61e5
呼和浩特市新城区成吉思汗大街16号,新城区,呼和浩特市,40.85569820974605,111.67155010540421,滨海商业广场,内蒙古自治区,45306fb10a9f09807c29bde6
呼和浩特市新城区成吉思汗大街16号,新城区,呼和浩特市,40.85575618136523,111.67055162206107,滨海玖禾奥莱,内蒙古自治区,5584d2a191d8650c9e82eaac
成吉思汗大街16号,新城区,呼和浩特市,40.85560109978923,111.6707509823549,滨海商业广场C区(滨海商业广场店),内蒙古自治区,3ad5683414920762c056acb9
哲里木路与成吉思汗大街交叉口东南100米,新城区,呼和浩特市,40.855728806239284,111.67169651894731,滨海商业广场E区(滨海商业广场店),内蒙古自治区,cd68e0a735e592ffeee4a55d
内蒙古自治区呼和浩特市新城区滨海商业广场A区(成吉思汗广场东),新城区,呼和浩特市,40.85324604366525,111.67138266218815,滨海商业广场-A区,内蒙古自治区,7ba687b62a64cfbfe5e96511
呼和浩特市赛罕区新华东街26号呼和浩特万达广场1层,赛罕区,呼和浩特市,40.83428454749821,111.72705178228095,苏宁易购广场(呼和浩特店),内蒙古自治区,db871c1572190943b8bd63c1
呼和浩特市赛罕区新华东街62号,赛罕区,呼和浩特市,40.82799784385105,111.7034109899395,维多利·摩尔城,内蒙古自治区,8d4bf05d412778579e95de36
呼和浩特市赛罕区新华东街66号,赛罕区,呼和浩特市,40.82824079007486,111.70171146681709,长乐宫购物中心,内蒙古自治区,3810c8794c89128b9c09f718
呼和浩特市新城区兴安北路,新城区,呼和浩特市,40.86346347215748,111.68497692708053,维多利喜悦汇,内蒙古自治区,6dce5c43745aa14d95f08c86
